@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.791819,2.948056,2.669608,2.838434,2.134259,2.030473,2.097030,1.950037,1.549850,0.965833,2.906065,2.996988,2.611141,2.900693,2.250280,1.767785,2.049372,1.344975,1.404536,1.059255,2.872507,2.861179,2.306459,2.710314,1.931527,1.538733,1.770432,1.476574,1.551656,1.174158,2.851458,2.871548,2.407654,2.739036,1.972716,1.678427,1.854633,1.709858,1.726812,1.602938,2.886035,2.923923,2.120670,2.748328,1.937160,1.825291,1.860299,1.358968,1.354966,1.040850,3.012183,3.151982,2.750131,3.039389,2.435371,1.977751,2.225776,1.738254,2.101947,2.080020,2.913125,2.990892,2.413355,2.851921,2.139641,1.780304,1.985320,1.644060,1.614679,1.405453,2.737326,2.851613,2.507269,2.733739,1.934916,1.578018,1.774886,1.465398,1.376640,1.029515,2.815812,2.914930,2.384894,2.768503,1.951787,1.946202,1.962553,1.785588,1.402997,0.948985,1
2.375258,2.398507,2.296095,2.410063,2.135869,1.853786,2.014258,1.552983,1.394815,1.040105,2.688075,2.600904,2.177572,2.509464,2.333059,1.879840,2.129157,1.526472,1.798588,1.342719,2.638224,2.557512,2.236103,2.476426,2.234310,1.848858,2.046423,1.365083,1.802753,1.375084,2.726276,2.578466,1.968459,2.445881,2.122200,1.669673,1.920874,1.609649,1.757089,1.747916,2.630291,2.635714,2.091796,2.508809,1.995844,2.050037,1.999861,1.541498,1.567519,1.098347,2.748788,2.575303,2.108956,2.460100,2.299017,1.924438,2.162978,2.054827,2.135594,2.043653,2.758495,2.752978,2.283866,2.649096,2.286222,2.144659,2.178721,1.828390,1.712977,1.380739,2.498700,2.445774,2.061924,2.362728,1.956515,1.681774,1.833870,1.485540,1.316966,1.088443,2.425312,2.433892,2.136170,2.374193,2.046508,2.109144,2.070155,1.707006,1.490195,0.929454,1
1.966009,2.089154,2.005497,2.068195,1.951136,2.035430,2.002543,1.857751,1.582084,1.018057,1.807160,2.076259,1.794786,1.994777,2.014920,2.083647,2.013415,1.951373,1.973637,1.258104,1.795257,2.074557,1.979637,2.065790,2.021559,2.100592,2.026701,1.930765,1.920851,1.309184,1.868338,2.053511,1.773307,1.958339,2.024490,2.030239,1.986112,1.690470,1.862299,1.739827,1.868741,2.027584,1.717958,1.945568,1.859975,2.070842,2.002862,1.977700,1.832580,1.207776,1.947444,2.307925,1.939622,2.170467,2.046466,2.205591,2.119158,2.029784,2.191277,2.066249,2.037482,2.199053,1.927759,2.139845,1.944519,2.023682,1.947627,2.014462,1.951575,1.445990,1.920375,2.045280,1.912394,1.988390,1.728438,1.932975,1.836656,1.642638,1.463477,1.075821,1.994072,2.075116,1.972905,2.048866,1.950652,2.068263,2.034554,1.920391,1.692355,1.062071,1
2.644616,2.674107,2.030984,2.503682,1.963740,2.026433,1.989043,1.762592,1.506445,1.028863,2.738842,2.924460,2.293615,2.751006,1.914594,1.913940,1.893960,1.660765,1.869246,1.229996,2.888374,3.073282,2.491484,2.903004,2.005072,1.816960,1.912464,1.690180,1.728021,1.173135,2.711043,2.812518,2.111628,2.633487,1.995845,2.020660,1.999783,1.905652,1.926755,1.630507,2.483774,2.712025,2.039851,2.526387,1.895926,1.860942,1.887666,1.819688,1.740497,1.183583,2.729190,2.901813,2.287313,2.730057,2.196707,2.229060,2.180140,1.888781,2.153576,2.156362,2.516437,2.811521,2.213728,2.634287,1.779119,1.776223,1.740021,1.719699,1.831066,1.407868,2.728499,2.798022,2.091619,2.612424,1.958853,1.985793,1.959954,1.637766,1.569850,1.225780,2.464376,2.555791,1.856762,2.371199,1.765516,1.727717,1.758955,1.648635,1.584078,1.032624,1
2.779790,2.714233,1.884771,2.540126,2.138797,2.108886,2.167752,2.094476,1.545709,1.000921,2.813342,2.916932,2.422703,2.779584,2.213932,2.223358,2.184293,2.134925,1.885698,1.377752,2.984630,3.060442,2.376655,2.891576,2.138888,2.139686,2.160315,2.108134,1.833346,1.343884,2.753113,2.831943,2.191592,2.680407,2.232628,2.264724,2.278335,2.230060,2.090135,1.667889,2.572165,2.636869,1.871255,2.455970,1.963845,1.793576,1.870862,1.875472,1.632297,1.137807,2.766854,2.933958,2.538414,2.802560,2.363936,2.282111,2.290908,2.075329,2.156996,2.107050,2.402284,2.572787,2.153859,2.437652,2.075860,2.050102,2.010086,1.992093,1.826156,1.502130,2.778514,2.762691,1.953945,2.595912,2.196192,2.142517,2.199789,2.116426,1.695915,1.194923,2.622814,2.520381,1.439302,2.326314,1.916647,1.879152,1.921121,1.913970,1.523718,1.120685,1
2.847814,2.770241,2.040818,2.603825,2.364677,2.120355,2.252596,1.875435,1.616333,0.963223,2.838638,2.810066,2.458449,2.735540,2.245130,2.376371,2.319856,2.302699,1.863180,1.335206,2.864179,2.951043,2.187071,2.776812,2.247395,2.278438,2.301186,2.188227,1.709039,1.028754,2.752981,2.789397,2.189831,2.639380,2.173529,2.267153,2.245374,2.240760,1.917477,1.637548,2.430504,2.447443,1.790246,2.279312,1.943369,1.914850,1.972188,1.812130,1.557349,1.097729,2.928346,2.990464,2.601728,2.891585,2.410095,2.572930,2.500790,2.472947,2.156154,2.106795,2.625675,2.569091,2.134973,2.465634,2.077236,2.198688,2.137746,2.065809,1.838008,1.493711,2.790993,2.731062,1.968747,2.541087,2.362903,2.139394,2.247036,1.908019,1.652632,1.087191,2.555153,2.456846,2.042644,2.340858,2.210751,1.973811,2.116268,1.710093,1.440911,0.922647,1
2.732575,2.840239,2.232390,2.686996,2.262269,2.149427,2.193828,1.822898,1.702007,1.020887,2.531715,2.686651,2.260866,2.581705,2.194437,2.042069,2.090408,1.808094,1.652957,1.210143,2.731892,3.012089,2.583144,2.889049,2.179316,2.006141,2.081648,1.604247,1.584657,1.197069,2.441462,2.801699,2.392087,2.658063,2.023104,2.067439,2.007786,1.800877,1.877595,1.692024,2.436850,2.552974,2.022280,2.439428,1.845697,2.106703,2.056992,1.797976,1.583918,1.112861,2.138217,2.634198,2.412226,2.558047,2.171013,2.150051,2.088621,1.831262,2.034479,2.089514,2.356779,2.468712,2.179112,2.413666,2.125704,1.966078,2.056747,1.878806,1.855424,1.452204,2.631379,2.806341,2.233757,2.640317,2.310674,2.207618,2.214621,1.708183,1.678991,1.128883,2.597623,2.686553,2.076563,2.547142,2.050581,2.201131,2.165345,1.918916,1.647175,0.825370,1
2.894631,3.014192,2.171516,2.819432,2.084657,2.088237,2.069091,1.864418,1.560921,0.896702,2.776347,2.831429,2.284543,2.691296,2.389217,2.119617,2.228997,2.056434,1.716285,1.065317,2.936370,3.068439,2.524942,2.921274,2.290605,2.094090,2.160764,1.965672,1.714439,1.047948,2.785170,2.837665,2.346434,2.692265,2.062880,2.159236,2.085257,1.998675,1.847214,1.605814,2.847554,3.041661,2.378977,2.870588,2.193572,2.086042,2.138099,1.958230,1.697146,1.194421,2.780178,2.645668,2.325781,2.533677,2.394865,2.354679,2.328886,2.436977,2.198854,1.887778,2.753604,3.035330,2.676847,2.908984,2.463668,2.042423,2.261393,1.890353,1.807755,1.462568,2.850149,2.925366,2.200045,2.749509,2.186327,2.300350,2.215622,1.933834,1.689452,0.954298,2.860947,3.018632,2.123550,2.824552,1.850083,1.997511,1.967105,1.934822,1.531206,0.928343,1
2.604567,2.713086,2.329552,2.612963,2.133194,2.188365,2.126685,1.729332,1.407218,0.826297,2.750188,2.748899,2.076304,2.574053,2.193426,2.033000,2.084728,1.829146,1.521910,0.973393,2.767996,2.798384,1.955336,2.596600,2.139523,2.123720,2.071105,1.720501,1.536923,0.918715,2.601167,2.541728,1.877787,2.369335,2.030623,2.114713,2.046063,2.049772,1.711325,1.559575,2.915050,3.046496,2.337395,2.856554,2.156858,2.165521,2.117861,1.752478,1.487298,1.135174,2.822978,2.541766,2.074618,2.404156,2.277027,2.276104,2.243204,2.399236,2.279170,1.774677,2.900319,3.095283,2.598999,2.927578,2.211979,2.133855,2.123413,1.757373,1.638227,1.344169,2.548046,2.633432,2.200693,2.521793,1.965386,1.934495,1.912357,1.524927,1.334353,0.897477,2.708637,2.863115,2.308113,2.707939,1.956521,1.929278,1.894258,1.563186,1.321606,0.869290,1
2.227227,2.572850,2.518237,2.546387,2.054917,2.097539,2.051508,1.743074,1.504652,1.053917,2.618165,2.463756,2.129225,2.355262,1.746261,1.981819,1.895721,1.836361,1.554762,1.171911,2.707329,2.725327,2.417749,2.591616,1.887224,2.076663,1.977803,1.831575,1.535941,1.140999,2.322385,2.375501,1.989750,2.245968,1.799401,2.126124,2.021443,2.149454,1.833325,1.809458,2.564163,2.542248,2.266846,2.427072,1.830227,1.920738,1.894986,1.964854,1.692697,1.290240,2.462797,2.274219,1.975288,2.182497,1.911267,2.058340,1.993623,2.152883,2.105196,1.838826,2.592271,2.509320,2.115034,2.380698,1.837313,1.974739,1.914241,1.729039,1.724599,1.370612,2.093434,2.370300,2.227040,2.317300,1.901868,1.888055,1.887336,1.653694,1.380527,1.183120,2.022219,2.406338,2.404745,2.381099,1.952414,1.972495,1.942026,1.961467,1.656837,1.089355,1
