@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
1.962839,2.303817,2.066170,2.190541,1.782851,1.676232,1.735972,1.667850,1.533677,1.354318,2.068694,2.517375,2.685943,2.583109,1.779629,1.621740,1.696968,1.730367,1.507901,0.891038,1.536728,1.840751,2.375039,2.207002,1.725761,1.464601,1.601925,1.489606,1.395467,0.986756,1.449485,1.897241,2.068223,1.990162,1.842254,1.428017,1.652519,1.322513,1.285704,1.015674,2.223949,2.220626,2.253912,2.250635,1.483439,1.292296,1.370490,1.394640,1.385509,0.964860,2.137803,2.623306,2.534709,2.551326,1.718779,1.631324,1.670432,1.692878,1.523969,1.114616,2.287473,2.394845,2.601154,2.480279,1.801744,1.547899,1.663829,1.694268,1.582182,1.016306,1.593972,1.843976,1.696520,1.754907,1.911188,1.561025,1.730136,1.272232,1.412933,1.317295,1.975341,2.066410,1.736320,1.954705,1.681690,1.487564,1.605669,1.500847,1.443224,1.322839,1
1.717432,2.065248,2.332765,2.242976,1.727043,1.342748,1.548651,1.240995,1.326880,1.159100,2.259803,2.177822,2.634264,2.512514,2.005841,1.469033,1.830610,1.573628,1.365692,0.959907,2.144343,2.251080,2.655009,2.543125,1.894983,1.448720,1.711243,1.375547,1.291594,0.809571,1.660930,2.024197,2.177824,2.159529,1.788257,1.444104,1.669754,1.354288,1.191350,0.844996,1.942696,2.050572,2.499635,2.347371,1.670408,1.488775,1.578288,1.401149,1.319233,0.905328,1.911471,2.170207,2.298709,2.269102,1.907466,1.740355,1.869080,1.752521,1.315783,1.052405,2.353382,2.322126,2.573277,2.494931,1.909043,1.572735,1.760816,1.389697,1.439178,1.220342,1.745239,2.195948,2.206004,2.223478,1.636413,1.333577,1.514161,1.084788,1.223432,1.152223,1.553828,1.825257,2.142344,2.024664,1.738415,1.575519,1.632870,1.421688,1.331138,1.084985,1
2.474679,2.423344,2.362913,2.407865,1.985198,1.654254,1.829403,1.413665,1.352681,1.229716,2.763550,2.536568,2.745251,2.703291,2.072123,1.338499,1.845707,1.381947,1.320245,1.051931,2.789063,2.551157,2.702730,2.679823,1.750370,1.598146,1.655430,1.456893,1.383593,1.037951,2.731769,2.625841,2.526679,2.577474,1.794132,1.535839,1.679338,1.418194,1.223946,0.923355,2.421884,2.322207,2.392382,2.407290,1.589615,1.239188,1.445577,1.191996,1.316106,1.053298,2.758097,2.557778,2.632462,2.608440,2.052936,1.778654,1.941250,1.694111,1.389152,1.174012,2.504498,2.415477,2.468161,2.488316,1.946019,1.242486,1.725069,1.325995,1.513529,1.267018,2.474247,2.579717,2.467153,2.512556,1.972691,1.809544,1.897621,1.682428,1.392548,1.224065,2.289467,2.260450,2.064007,2.213539,1.818007,1.651565,1.715590,1.370907,1.384278,1.286909,1
2.350777,2.290614,1.897087,2.194382,2.042581,1.920374,1.974799,1.710219,1.351539,1.297836,2.692626,2.885482,2.744218,2.854246,1.903822,1.472871,1.722969,1.392534,1.340044,1.123518,2.485198,2.549984,2.214408,2.462502,1.357688,1.426488,1.406738,1.383357,1.373013,1.217864,2.813783,2.927859,2.688946,2.854286,2.008439,1.411074,1.779036,1.245548,1.253314,1.119583,1.553791,1.818645,1.976376,1.915052,1.432923,1.143177,1.319302,1.189797,1.237311,1.017591,3.013139,3.219513,3.035596,3.159716,2.339751,1.792989,2.120314,1.639568,1.484958,1.312890,2.239515,2.197433,2.310580,2.300387,1.827355,1.556732,1.695339,1.623323,1.551468,1.191033,2.606133,2.657097,2.320279,2.576061,2.186330,1.906400,2.032683,1.483311,1.235480,1.203026,1.856291,2.014082,2.006351,1.988587,1.624417,1.577672,1.619107,1.414058,1.313506,1.310483,1
2.237593,2.293931,1.910640,2.169661,2.060117,1.664268,1.899269,1.571032,1.398908,1.223212,2.712296,3.024973,2.888718,2.963533,2.260033,1.688480,2.040494,1.608767,1.444839,1.128905,2.437904,2.809280,2.566284,2.689255,1.826853,1.405643,1.643941,1.238004,1.380342,1.215062,2.749527,3.001500,2.804756,2.914940,2.116941,1.716175,1.922362,1.598581,1.509396,1.329031,1.812593,2.224590,2.063974,2.134831,1.745734,1.359021,1.539054,0.995818,1.191785,0.946513,2.973472,3.251946,3.069654,3.180597,2.413887,1.917933,2.200415,1.842514,1.585611,1.318521,2.242633,2.459959,2.398264,2.426644,2.112281,1.568533,1.876919,1.561009,1.410391,1.090569,2.604931,2.729837,2.315241,2.604081,2.059669,1.760280,1.945427,1.632173,1.328570,1.258418,1.714054,2.103314,2.093053,2.051076,1.727209,1.771719,1.760083,1.585867,1.443561,1.203331,1
1.964395,1.932439,2.071980,2.068241,2.068477,1.767919,1.908657,1.544957,1.328338,1.070917,2.137138,2.298310,2.312225,2.279859,1.855715,1.533945,1.682041,1.417334,1.325866,0.977703,2.005906,2.129777,2.145819,2.162444,2.081920,1.492932,1.857971,1.429016,1.315161,1.097543,1.968276,2.229470,2.153371,2.214231,1.848173,1.687861,1.786626,1.585315,1.402535,1.143675,1.996613,1.997206,2.186047,2.075126,1.775897,1.296842,1.536465,0.949359,1.061417,0.909279,2.033018,2.247087,2.171721,2.177474,1.637189,1.534227,1.526797,1.381191,1.396222,1.018652,2.164970,2.188731,2.213266,2.188840,1.774121,1.455506,1.574827,1.201745,1.203281,0.944909,2.111609,2.293818,2.009516,2.237614,2.056933,1.838146,1.950740,1.730197,1.311376,1.027137,1.907087,1.838265,1.926156,1.925348,1.684262,1.299644,1.477849,1.114716,1.297214,1.115780,1
2.117486,2.183055,2.073041,2.166773,2.032429,1.909179,1.976186,1.773778,1.474737,1.051946,1.572580,1.957727,2.387610,2.209550,1.857394,1.776700,1.805968,1.639269,1.353441,1.128521,1.993040,2.085164,2.332340,2.227835,1.929123,1.835257,1.880364,1.674421,1.439420,1.193706,2.061380,2.358738,2.202596,2.284945,1.773835,1.602161,1.696548,1.254905,1.255080,1.038070,1.660277,2.037109,2.342931,2.185168,1.873531,1.660802,1.770757,1.559704,1.214394,0.939933,1.617843,2.194241,2.289546,2.203537,2.031178,1.479282,1.824163,1.289629,1.307642,1.090993,1.677487,2.081420,2.398873,2.256811,2.001892,1.863909,1.913886,1.719823,1.439230,1.261458,2.396949,2.636051,2.184865,2.492167,1.899524,1.851797,1.872446,1.751340,1.422189,0.975684,1.745700,1.850474,2.019363,1.947027,1.736782,1.731208,1.752181,1.708663,1.360794,0.964788,1
2.314960,2.438199,2.228127,2.356082,2.178147,1.977025,2.095184,1.806547,1.489536,1.270796,2.360424,2.631877,2.433473,2.570287,1.982252,2.030588,2.004706,1.900306,1.456343,1.031975,2.212311,2.466121,2.361127,2.418053,1.848721,1.982035,1.925396,1.748754,1.439759,1.110588,2.393412,2.359234,2.255268,2.301475,1.731686,1.828886,1.790198,1.748364,1.387141,1.044389,1.674860,2.101637,2.306229,2.231977,1.972689,1.810257,1.916190,1.670606,1.247256,0.934279,2.707131,2.684086,2.435050,2.579274,1.971964,2.154903,2.107328,2.155936,1.668509,1.170210,1.980236,2.412562,2.432318,2.466747,2.030906,1.995047,2.014610,1.855682,1.424260,1.150941,2.479187,2.552389,2.260138,2.433617,1.896616,1.737286,1.797778,1.624950,1.441186,1.198720,1.940974,2.092434,2.115240,2.144240,1.876196,1.905648,1.929073,1.843178,1.417747,1.149798,1
2.281400,2.545780,2.346150,2.449660,2.344396,1.841837,2.120389,1.623693,1.470027,1.269967,2.718868,2.848151,2.253077,2.672864,1.926687,1.707369,1.849715,1.786363,1.538331,1.022083,2.467805,2.675480,2.438081,2.573982,2.041642,1.676959,1.901306,1.793354,1.545784,1.111627,2.676106,2.668787,2.182940,2.514442,1.868028,1.849846,1.884055,1.915528,1.504541,1.041077,2.289678,2.435866,2.363537,2.415484,1.980910,1.703119,1.865989,1.703839,1.408591,1.031918,2.851404,2.829682,2.209235,2.638052,1.813010,2.127795,2.040199,2.180030,1.775084,1.215549,2.360640,2.614595,2.403787,2.551981,2.010694,1.671318,1.853818,1.683973,1.574183,1.121656,2.499379,2.577596,2.192274,2.433320,2.044756,1.634605,1.846802,1.591960,1.488482,1.285689,2.145512,2.366894,2.319319,2.358084,2.160732,1.857880,2.003179,1.758260,1.379813,1.187413,1
2.350835,2.327786,2.092561,2.260547,2.035354,1.691676,1.877532,1.539947,1.348974,0.987066,2.822269,2.813519,2.513715,2.716083,1.796710,1.545622,1.667645,1.436555,1.207732,0.818749,2.693788,2.746413,2.558659,2.690711,2.169676,1.755605,1.966107,1.473978,1.251775,0.826526,2.580491,2.619006,2.100152,2.486413,1.979850,1.685893,1.801040,1.422719,1.187761,0.848577,2.473661,2.515512,2.437576,2.503004,1.682031,1.611454,1.646876,1.561169,1.285235,0.882927,2.788774,2.815758,2.150639,2.647544,1.682028,1.545019,1.586650,1.618113,1.532962,1.141413,2.618692,2.702356,2.366085,2.595190,1.753108,1.572277,1.700750,1.501028,1.424791,1.074397,2.311298,2.406964,1.973313,2.286890,2.097055,1.565210,1.877029,1.343682,1.240014,0.964448,2.326391,2.334157,2.201036,2.298904,1.851051,1.764011,1.812880,1.642993,1.291299,1.067362,1
